Inches,ScreenResolution,Cpu,Ram,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,LaptopPrice
15.6,1,15,4,1.86,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,43005
15.6,4,15,8,2.1,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,77352
15.6,4,14,4,2.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,34232
15.6,4,16,16,2.65,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,131912
15.6,1,15,8,2.3,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,46023
15.6,4,15,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,60016
17.3,4,15,12,2.77,1,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87912
13.3,11,15,8,1.37,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,124872
15.6,1,14,4,2.2,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,32472
17.3,4,8,8,3.2,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,114312
15.6,4,15,4,2.3,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,56232
17.3,1,12,4,2.8,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,41008
10.1,5,9,4,0.69,1,0,0,0,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28072
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,74008
15.6,4,3,4,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35067
13.3,4,16,8,1.49,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,97064
15.6,1,14,4,2.4,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,33792
15.6,4,16,8,2.13,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,67566
15.6,4,14,4,1.91,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,38632
15.6,1,15,4,2.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,51585
17.3,4,16,16,2.43,0,2000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,215512
15.6,4,14,4,2.0,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,36520
17.3,4,16,16,2.8,0,2000,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,114312
14.0,4,15,8,1.7,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,77352
14.0,4,14,8,1.7,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,52712
14.0,4,15,8,1.4,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,82808
15.6,4,15,8,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,60720
15.6,4,16,16,1.8,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,174504
15.6,1,14,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,38605
14.0,1,10,4,1.44,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20152
15.6,4,15,4,1.9,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,48312
17.3,4,16,12,3.0,0,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,83512
13.5,8,15,4,1.25,1,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,95832
13.3,4,16,8,1.4,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,84040
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,76560
17.3,4,15,8,2.7,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,96360
14.0,1,14,8,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34232
15.6,4,16,8,2.2,0,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,83512
15.6,4,15,8,2.2,0,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,45672
15.6,4,16,8,2.02,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,75240
15.6,4,14,4,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,46640
17.3,4,15,8,2.5,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,85976
15.6,4,15,8,1.88,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,96462
12.0,7,15,8,0.92,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,132880
14.0,4,15,8,1.63,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,75680
15.6,4,3,4,2.2,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35112
15.6,1,5,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34760
15.6,4,16,16,2.65,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,118712
15.6,4,16,8,1.83,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,61512
15.6,4,15,8,1.96,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,52711
15.6,4,16,16,2.2,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,127512
13.3,4,16,8,1.21,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,145112
15.6,4,7,8,2.45,0,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,61512
15.6,4,16,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,60632
13.3,4,16,16,1.49,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,105336
15.6,4,15,8,2.65,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,105160
14.0,4,16,8,1.25,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,92312
13.3,4,15,8,1.5,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74536
15.6,4,16,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,52791
15.6,4,14,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42680
15.6,4,14,6,2.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,50776
15.6,4,16,12,2.62,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,109912
15.6,4,16,8,1.91,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,63272
15.6,4,6,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,30712
15.6,4,15,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,56936
13.3,4,16,8,1.38,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,98472
13.5,8,15,8,1.25,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,117920
14.0,4,15,6,1.58,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,57992
15.6,4,14,4,1.85,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,36511
14.0,4,16,8,1.3,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,104984
15.6,4,16,16,2.2,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,114312
14.0,4,16,8,1.58,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,130240
15.6,4,16,16,1.5,0,1000,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,111056
13.3,13,16,8,1.23,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,121352
13.3,4,15,8,1.37,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123112
14.0,1,15,4,1.63,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,63536
13.3,4,15,8,1.21,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,143352
13.3,4,15,8,1.26,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123111
14.0,4,16,8,1.63,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,95392
15.6,4,16,8,2.16,0,1000,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99469
17.3,4,14,4,2.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,49632
15.6,4,16,8,1.7,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,98384
15.6,4,14,6,2.1,1,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,42152
15.6,4,16,16,1.8,0,2000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,197252
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,55352
17.3,4,16,16,2.5,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,111848
15.6,1,5,4,2.1,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39688
15.6,1,10,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22792
14.0,4,15,8,1.63,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,71456
14.0,1,6,4,1.65,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24463
17.3,4,16,16,2.8,0,2000,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,122848
17.3,4,15,8,2.5,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,81664
15.6,1,15,8,2.36,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,56231
15.6,4,14,4,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39512
14.0,4,16,8,1.6,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,77792
15.6,4,14,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,50336
15.6,1,16,8,2.05,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,52624
14.0,4,16,8,1.63,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,86944
15.6,1,10,4,1.9,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22208
17.3,4,15,8,3.0,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,82544
15.6,4,15,4,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43912
13.3,4,15,4,1.32,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,61512
17.3,4,14,4,3.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,57640
14.0,4,15,8,1.75,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,98210
15.6,4,16,8,2.4,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,76472
15.6,1,15,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,52976
15.6,1,3,4,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,32472
14.0,4,16,8,1.25,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,96712
12.5,14,11,8,0.97,1,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,177232
15.6,4,10,4,2.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,30272
17.3,4,16,16,2.9,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,178552
15.6,1,14,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39336
15.6,4,16,16,2.56,0,0,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,109935
15.6,4,16,8,2.62,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,79112
15.6,1,15,4,1.9,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,43824
17.3,4,16,16,2.8,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,166320
14.0,4,15,4,1.48,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,95216
15.6,4,15,6,1.91,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,54472
14.0,4,14,4,1.74,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55352
13.3,4,15,8,1.1,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115720
15.6,4,16,8,1.56,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92312
15.6,1,14,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39336
15.6,1,5,4,2.03,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35464
17.3,4,15,4,3.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70840
15.6,4,15,8,2.13,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,64064
15.6,4,16,16,2.5,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,94952
15.6,1,10,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,30624
15.6,4,16,16,2.4,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,158312
15.6,1,12,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,31989
15.6,4,16,8,2.56,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,93323
17.3,4,15,8,3.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,75152
13.3,4,15,4,1.49,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,66352
13.0,6,15,8,1.05,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,118712
17.3,4,15,6,2.71,0,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,61512
15.6,1,3,4,2.2,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,27192
15.6,1,14,4,2.0,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,43032
17.3,4,15,8,2.5,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,81224
15.6,1,14,8,2.3,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,40392
15.6,1,14,4,2.1,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39512
18.4,4,16,32,4.4,0,1000,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,246312
15.6,4,15,8,1.9,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,71544
13.3,14,15,8,1.29,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,131912
15.6,4,16,16,2.02,0,2000,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,92312
13.3,4,15,8,1.23,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,123112
13.9,14,16,16,1.4,1,0,512,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,162712
15.6,1,15,8,2.0,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,69784
15.6,4,15,8,1.95,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,105512
17.3,4,16,16,2.77,1,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,136312
15.6,14,16,16,2.06,1,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,210936
15.6,4,15,8,2.4,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,68552
13.3,4,15,8,1.12,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,87032
17.3,4,16,8,2.8,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,95480
14.0,9,16,16,1.42,1,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,248512
14.0,4,10,4,1.3,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22880
13.3,4,15,8,1.3,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,87991
17.3,3,15,8,2.8,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,61424
13.3,4,16,8,1.62,1,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73832
17.3,4,15,8,2.5,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,80432
17.3,14,16,32,3.49,1,0,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,536712
13.3,4,15,8,1.49,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,84392
17.3,4,16,16,3.35,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,121352
17.3,4,16,8,2.5,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,91960
15.6,14,16,16,2.65,0,1000,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,162360
15.6,1,15,4,2.1,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,43384
15.6,4,16,8,2.23,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,65296
15.6,4,16,16,3.2,0,1000,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,153912
15.6,14,13,16,2.8,0,1000,256,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,268840
15.6,4,16,16,2.4,0,0,512,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,123024
15.6,1,14,6,2.3,1,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,38632
13.3,14,16,8,1.21,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,171512
13.3,4,16,8,1.2,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,127512
15.6,1,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,52536
15.6,4,16,8,2.4,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,68552
17.3,4,16,16,2.9,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,123816
15.6,4,14,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30712
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48312
13.0,6,16,8,1.05,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,131912
13.3,4,16,8,1.4,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,82005
17.3,3,15,8,2.8,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,51832
14.0,4,16,8,1.63,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,90728
14.0,4,15,8,1.6,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,101112
13.3,4,16,16,1.62,1,0,512,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112552
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,59607
14.0,4,15,8,1.74,0,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79112
13.3,4,16,8,1.2,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,119944
15.6,4,15,8,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,69872
17.3,4,16,16,4.42,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,216158
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,73216
15.6,4,16,16,2.3,1,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,75593
15.6,4,15,8,2.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,67672
17.3,4,15,8,2.69,0,500,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,78408
15.6,4,16,8,1.9,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,111672
15.6,1,14,4,2.37,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35111
15.6,1,6,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29040
15.6,4,16,16,3.2,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,131912
14.0,4,15,8,1.6,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,75592
13.3,4,15,8,1.6,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60632
15.6,4,16,16,2.36,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,79112
15.6,1,14,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,34320
15.6,4,0,4,2.2,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,50600
17.3,4,16,32,4.7,0,1000,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,342320
