TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,Price
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.3,No,1000,0,0,0,36840
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,No,0,0,0,128,96712
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.2,No,0,256,0,0,70400
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.88,No,0,512,0,0,114224
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,0,0,0,78848
Notebook,15.6,1920x1080,Intel Atom,4,Windows 10,1.89,No,0,0,0,64,21559
Notebook,14.0,1366x768,AMD E,2,Windows 10,1.65,No,0,0,0,32,17512
Notebook,17.3,1920x1080,AMD A6,4,Windows 10,2.71,No,500,0,0,0,38632
Ultrabook,13.3,3200x1800,Intel i7,16,Windows 10,1.2,Yes,0,512,0,0,164472
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,No,0,0,0,256,87824
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,No,0,0,0,64,21912
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,No,1000,0,0,0,32296
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.8,No,1000,128,0,0,86152
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.86,No,1000,0,0,0,43005
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,No,0,256,0,0,77352
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.0,No,1000,0,0,0,34232
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,No,1000,256,0,0,131912
Notebook,15.6,1366x768,Intel i5,8,Linux,2.3,No,1000,0,0,0,46023
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.2,No,0,256,0,0,60016
2 in 1 Convertible,17.3,1920x1080,Intel i5,12,Windows 10,2.77,Yes,1000,0,0,0,87912
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,256,0,0,124872
Notebook,15.6,1366x768,Intel i3,4,No OS,2.2,No,0,128,0,0,32472
Gaming,17.3,1920x1080,AMD Ryzen,8,Windows 10,3.2,No,1000,256,0,0,114312
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.3,No,0,256,0,0,56232
Notebook,17.3,1366x768,Intel Pentium,4,Windows 10,2.8,No,1000,0,0,0,41008
2 in 1 Convertible,10.1,1920x1200,Intel Atom,4,Android,0.69,Yes,0,0,0,64,28072
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,74008
Notebook,15.6,1920x1080,AMD A6,4,Windows 10,1.86,No,0,256,0,0,35067
Notebook,13.3,1920x1080,Intel i7,8,Windows 10,1.49,No,0,512,0,0,97064
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.4,No,1000,0,0,0,33792
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.13,No,0,256,0,0,67566
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.91,No,0,128,0,0,38632
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.0,No,0,256,0,0,51585
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.43,No,2000,256,0,0,215512
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.0,No,0,256,0,0,36520
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.8,No,2000,256,0,0,114312
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.7,No,0,256,0,0,77352
Notebook,14.0,1920x1080,Intel i3,8,No OS,1.7,No,0,256,0,0,52712
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.4,No,0,256,0,0,82808
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.86,No,0,256,0,0,60720
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.8,No,0,512,0,0,174504
Notebook,15.6,1366x768,Intel i3,4,Windows 10,1.86,No,500,0,0,0,38605
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,No,0,32,0,0,20152
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,1.9,No,1000,0,0,0,48312
Gaming,17.3,1920x1080,Intel i7,12,Linux,3.0,No,1000,0,0,0,83512
Ultrabook,13.5,2256x1504,Intel i5,4,Windows 10 S,1.25,Yes,0,128,0,0,95832
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,No,0,256,0,0,84040
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,76560
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,2.7,No,1000,128,0,0,96360
Notebook,14.0,1366x768,Intel i3,8,Windows 10,2.1,No,1000,0,0,0,34232
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,1000,0,0,0,83512
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,No,2000,0,0,0,45672
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.02,No,1000,128,0,0,75240
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,1000,0,0,0,46640
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,128,0,0,85976
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.88,No,0,256,0,0,96462
Ultrabook,12.0,2304x1440,Intel i5,8,macOS,0.92,No,0,512,0,0,132880
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,No,0,256,0,0,75680
Notebook,15.6,1920x1080,AMD A6,4,Windows 10,2.2,No,0,128,0,0,35112
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,No,1000,0,0,0,34760
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,No,1000,128,0,0,118712
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.83,No,0,256,0,0,61512
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.96,No,0,256,0,0,52711
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,No,1000,128,0,0,127512
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.21,No,0,256,0,0,145112
Gaming,15.6,1920x1080,AMD FX,8,Windows 10,2.45,No,1000,0,0,0,61512
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,1000,0,0,0,60632
Notebook,13.3,1920x1080,Intel i7,16,Windows 10,1.49,No,0,512,0,0,105336
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.65,No,0,256,0,0,105160
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,No,0,256,0,0,92312
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.5,Yes,0,256,0,0,74536
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.2,No,1000,0,0,0,52791
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.2,No,0,256,0,0,42680
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2.0,No,0,256,0,0,50776
Gaming,15.6,1920x1080,Intel i7,12,Windows 10,2.62,No,1000,128,0,0,109912
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,No,0,256,0,0,63272
Notebook,15.6,1920x1080,AMD E,4,Windows 10,2.1,No,500,0,0,0,30712
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,No,1000,0,0,0,56936
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.38,No,0,256,0,0,98472
Ultrabook,13.5,2256x1504,Intel i5,8,Windows 10 S,1.25,Yes,0,256,0,0,117920
Notebook,14.0,1920x1080,Intel i5,6,Windows 10,1.58,No,0,256,0,0,57992
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.85,No,1000,0,0,0,36511
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.3,No,0,256,0,0,104984
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,No,1000,256,0,0,114312
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.58,No,0,256,0,0,130240
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.5,No,1000,256,0,0,111056
Ultrabook,13.3,3200x1800,Intel i7,8,Windows 10,1.23,Yes,0,256,0,0,121352
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.37,Yes,0,256,0,0,123112
Notebook,14.0,1366x768,Intel i5,4,Windows 10,1.63,No,500,0,0,0,63536
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.21,No,0,256,0,0,143352
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.26,Yes,0,256,0,0,123111
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,No,0,512,0,0,95392
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.16,No,1000,256,0,0,99469
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,2.0,No,1000,0,0,0,49632
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.7,No,0,256,0,0,98384
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2.1,Yes,1000,0,0,0,42152
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,1.8,No,2000,256,0,0,197252
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,No,0,256,0,0,55352
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.5,No,0,512,0,0,111848
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,No,0,256,0,0,39688
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.86,No,500,0,0,0,22792
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,No,1000,0,0,0,71456
Notebook,14.0,1366x768,AMD E,4,Windows 10 S,1.65,No,0,64,0,0,24463
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.8,No,2000,256,0,0,122848
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,81664
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.36,No,1000,0,0,0,56231
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,1000,0,0,0,39512
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.6,No,0,256,0,0,77792
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,0,256,0,0,50336
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.05,No,1000,0,0,0,52624
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,No,0,256,0,0,86944
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.9,No,1000,0,0,0,22208
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,3.0,No,1000,128,0,0,82544
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,No,1000,0,0,0,43912
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.32,No,0,256,0,0,61512
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3.0,No,1000,0,0,0,57640
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.75,No,0,256,0,0,98210
Gaming,15.6,1920x1080,Intel i7,8,No OS,2.4,No,0,256,0,0,76472
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,No,500,0,0,0,52976
Notebook,15.6,1366x768,AMD A6,4,Windows 10,1.86,No,0,256,0,0,32472
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,No,0,256,0,0,96712
Ultrabook,12.5,3840x2160,Intel M ,8,Windows 10,0.97,Yes,0,512,0,0,177232
Notebook,15.6,1920x1080,Intel Celeron,4,Windows 10,2.0,No,1000,0,0,0,30272
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,No,1000,256,0,0,178552
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,No,1000,0,0,0,39336
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.56,No,0,512,0,0,109935
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.62,No,0,0,1000,0,79112
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.9,No,0,128,0,0,43824
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.8,No,1000,256,0,0,166320
Ultrabook,14.0,1920x1080,Intel i5,4,Windows 10,1.48,No,0,256,0,0,95216
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,1.91,No,0,256,0,0,54472
2 in 1 Convertible,14.0,1920x1080,Intel i3,4,Windows 10,1.74,Yes,0,256,0,0,55352
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.1,Yes,0,256,0,0,115720
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,1.56,Yes,0,256,0,0,92312
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,No,500,0,0,0,39336
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.03,No,1000,0,0,0,35464
Notebook,17.3,1920x1080,Intel i5,4,Windows 10,3.0,No,0,256,0,0,70840
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.13,No,0,256,0,0,64064
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.5,No,0,256,0,0,94952
Notebook,15.6,1366x768,Intel Celeron,4,Windows 10,2.1,No,1000,0,0,0,30624
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.4,No,1000,256,0,0,158312
Notebook,15.6,1366x768,Intel Pentium,4,Windows 10,2.1,No,1000,0,0,0,31989
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.56,No,1000,128,0,0,93323
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,3.0,No,0,256,0,0,75152
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,No,500,0,0,0,66352
Ultrabook,13.0,2160x1440,Intel i5,8,Windows 10,1.05,No,0,256,0,0,118712
Notebook,17.3,1920x1080,Intel i5,6,Windows 10,2.71,No,2000,0,0,0,61512
Notebook,15.6,1366x768,AMD A6,4,No OS,2.2,No,500,0,0,0,27192
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.0,No,500,0,0,0,43032
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,81224
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.3,No,1000,0,0,0,40392
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,No,0,128,0,0,39512
Gaming,18.4,1920x1080,Intel i7,32,Windows 10,4.4,No,1000,512,0,0,246312
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.9,No,1000,128,0,0,71544
2 in 1 Convertible,13.3,3840x2160,Intel i5,8,Windows 10,1.29,Yes,0,256,0,0,131912
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.02,No,2000,256,0,0,92312
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.23,No,0,256,0,0,123112
2 in 1 Convertible,13.9,3840x2160,Intel i7,16,Windows 10,1.4,Yes,0,512,0,0,162712
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.0,No,0,128,0,0,69784
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.95,No,0,256,0,0,105512
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.77,Yes,0,512,0,0,136312
Notebook,15.6,3840x2160,Intel i7,16,Windows 10,2.06,Yes,0,512,0,0,210936
Gaming,15.6,1920x1080,Intel i5,8,No OS,2.4,No,0,256,0,0,68552
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.12,No,0,256,0,0,87032
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,No,1000,128,0,0,95480
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.42,Yes,0,1000,0,0,248512
Notebook,14.0,1920x1080,Intel Celeron,4,Windows 10,1.3,No,0,0,0,32,22880
Ultrabook,13.3,1920x1080,Intel i5,8,No OS,1.3,No,0,256,0,0,87991
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,No,0,256,0,0,61424
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.62,Yes,1000,0,0,0,73832
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,0,0,0,80432
Gaming,17.3,3840x2160,Intel i7,32,Windows 10,3.49,Yes,0,1000,0,0,536712
Notebook,13.3,1920x1080,Intel i5,8,Windows 10,1.49,No,0,512,0,0,84392
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.35,No,1000,256,0,0,121352
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,No,0,256,0,0,91960
Gaming,15.6,3840x2160,Intel i7,16,Windows 10,2.65,No,1000,512,0,0,162360
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,No,0,128,0,0,43384
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.23,No,1000,0,0,0,65296
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,No,1000,512,0,0,153912
Workstation,15.6,3840x2160,Intel Xeon,16,Windows 10,2.8,No,1000,256,0,0,268840
Gaming,15.6,1920x1080,Intel i7,16,No OS,2.4,No,0,512,0,0,123024
Notebook,15.6,1366x768,Intel i3,6,Windows 10,2.3,Yes,1000,0,0,0,38632
Ultrabook,13.3,3840x2160,Intel i7,8,Windows 10,1.21,Yes,0,256,0,0,171512
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,No,0,256,0,0,127512
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.2,No,0,256,0,0,52536
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.4,No,1000,0,0,0,68552
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,No,1000,256,0,0,123816
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.1,No,500,0,0,0,30712
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,No,0,256,0,0,48312
Ultrabook,13.0,2160x1440,Intel i7,8,Windows 10,1.05,No,0,512,0,0,131912
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,No,0,256,0,0,82005
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,No,1000,0,0,0,51832
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,No,0,256,0,0,90728
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,No,0,256,0,0,101112
2 in 1 Convertible,13.3,1920x1080,Intel i7,16,Windows 10,1.62,Yes,0,512,0,0,112552
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,No,0,256,0,0,59607
2 in 1 Convertible,14.0,1920x1080,Intel i5,8,Windows 10,1.74,No,0,256,0,0,79112
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,No,0,256,0,0,119944
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,No,1000,0,0,0,69872
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.42,No,1000,256,0,0,216158
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,73216
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.3,Yes,1000,0,0,0,75593
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.0,No,0,256,0,0,67672
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.69,No,500,256,0,0,78408
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.9,No,1000,0,0,0,111672
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.37,No,1000,0,0,0,35111
Notebook,15.6,1366x768,AMD E,4,Windows 10,2.1,No,500,0,0,0,29040
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,No,1000,256,0,0,131912
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,No,0,256,0,0,75592
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.6,Yes,0,256,0,0,60632
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.36,No,0,256,0,0,79112
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,No,1000,0,0,0,34320
Notebook,15.6,1920x1080,AMD A10,4,Windows 10,2.2,No,1000,128,0,0,50600
Gaming,17.3,1920x1080,Intel i7,32,Windows 10,4.7,No,1000,512,0,0,342320
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,74448
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.2,No,0,128,0,0,51832
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.1,No,1000,128,0,0,100760
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.69,No,1000,128,0,0,78232
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.56,No,0,256,0,0,77352
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.38,Yes,0,256,0,0,94952
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,2000,128,0,0,86680
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.04,Yes,1000,0,0,0,49192
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.6,No,0,256,0,0,263912
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,No,500,0,0,0,59400
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,512,0,0,179520
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2.08,Yes,1000,0,0,0,72072
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.3,No,1000,256,0,0,158312
Notebook,15.6,1366x768,AMD A9,4,Windows 10,1.68,No,1000,0,0,0,41272
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.37,Yes,0,512,0,0,162712
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3.0,No,0,256,0,0,61776
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.41,No,0,256,0,0,83512
Notebook,15.6,1366x768,AMD A6,8,Windows 10,1.91,No,0,128,0,0,39239
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.9,No,1000,0,0,0,93192
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.14,No,1000,512,0,0,219912
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2.0,Yes,0,512,0,0,149512
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,No,1000,128,0,0,100496
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.2,No,0,256,0,0,39072
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.1,No,500,0,0,0,63536
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.18,No,1000,0,0,0,57816
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.24,No,1000,0,0,0,49720
2 in 1 Convertible,15.6,1920x1080,Intel i5,8,Windows 10,2.67,Yes,0,256,0,0,70312
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.1,Yes,0,1000,0,0,131912
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,No,1000,0,0,0,41096
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,No,1000,0,0,0,89584
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.05,No,0,256,0,0,77440
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,512,0,0,172383
Gaming,17.3,1920x1080,AMD Ryzen,16,Windows 10,3.2,No,1000,256,0,0,136312
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.14,No,0,256,0,0,64686
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.36,Yes,0,512,0,0,219912
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.2,No,500,0,0,0,71456
Notebook,15.6,1366x768,Intel i7,12,Windows 10,2.3,No,1000,0,0,0,62750
Notebook,17.3,1920x1080,Intel i7,8,Linux,2.8,No,1000,128,0,0,96712
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,1000,0,0,0,65560
Notebook,17.3,1600x900,Intel i3,4,Windows 10,2.8,No,1000,0,0,0,43032
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.8,No,2000,0,0,0,74712
Notebook,17.3,1600x900,Intel i7,6,Windows 10,2.8,No,1000,128,0,0,75592
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.25,No,1000,0,0,0,37664
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,72952
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,2.2,No,0,256,0,0,50952
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,3.0,No,0,256,0,0,83688
Notebook,15.6,1920x1080,Intel i7,12,Windows 10,2.15,Yes,1000,0,0,0,57992
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.95,No,0,256,0,0,96536
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.7,No,0,256,0,0,85976
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.5,No,1000,256,0,0,103752
Notebook,15.6,1920x1080,Intel i7,8,No OS,2.2,No,1000,0,0,0,57993
Notebook,15.6,1366x768,Intel Celeron,2,Chrome OS,2.19,No,0,16,0,0,17512
Gaming,17.3,1920x1080,Intel i7,8,Windows 10,3.0,No,1000,0,0,0,104456
Notebook,17.3,1600x900,Intel i3,8,Windows 10,2.54,No,1000,0,0,0,43032
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.0,No,0,256,0,0,160952
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.05,No,0,256,0,0,65032
